CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_Complexity,KILLED,NO_COVERAGE,SURVIVED,TIMED_OUT,MutationScore
JDOQLTypedSubqueryImpl,10,0,10,0,53,0,53,0,19,0,19,0,27,0,0,0
JDOQuery,50,0,50,0,396,0,396,0,110,0,110,0,221,0,0,0
JDOQueryCache,0,0,0,100,18,0,18,0,9,0,9,0,8,0,0,0
JDOReplicationManager,64,0,64,0,136,0,136,0,41,0,41,0,71,0,0,0
JDOSequence,0,0,0,100,18,0,18,0,7,0,7,0,6,0,0,0
JDOStateInterrogation,10,0,10,0,23,0,23,0,17,0,17,0,19,0,0,0
JDOTransaction,46,0,46,0,130,0,130,0,60,0,60,0,73,0,0,0
JDOTypeConverter,0,0,0,100,7,0,7,0,5,0,5,0,4,0,0,0
JDOTypeConverterUtils,16,0,16,0,26,0,26,0,12,0,12,0,16,0,0,0
JoinMetadataImpl,48,0,48,0,110,0,110,0,49,0,49,0,68,0,0,0
KeyMetadataImpl,64,0,64,0,135,0,135,0,57,0,57,0,89,0,0,0
LifecycleListenerForClass,20,0,20,0,32,0,32,0,16,0,16,0,32,0,0,0
LifeCycleStateFactory,0,0,0,100,17,0,17,0,3,0,3,0,1,0,0,0
LinearRingExpressionImpl,0,0,0,100,8,0,8,0,4,0,4,0,1,0,0,0
LineStringExpressionImpl,0,0,0,100,18,0,18,0,8,0,8,0,5,0,0,0
ListExpressionImpl,0,0,0,100,12,0,12,0,4,0,4,0,2,0,0,0
LocalDateExpressionImpl,0,0,0,100,12,0,12,0,6,0,6,0,3,0,0,0
LocalDateTimeExpressionImpl,0,0,0,100,18,0,18,0,9,0,9,0,6,0,0,0
LocalTimeExpressionImpl,0,0,0,100,12,0,12,0,6,0,6,0,3,0,0,0
MapExpressionImpl,0,0,0,100,40,0,40,0,12,0,12,0,10,0,0,0
MapMetadataImpl,0,0,0,100,27,0,27,0,18,0,18,0,17,0,0,0
MemberMetadataImpl,130,0,130,0,303,0,303,0,140,0,140,0,205,0,0,0
MultiLineStringExpressionImpl,0,0,0,100,8,0,8,0,4,0,4,0,1,0,0,0
MultiPointExpressionImpl,0,0,0,100,6,0,6,0,3,0,3,0,0,0,0,0
MultiPolygonExpressionImpl,0,0,0,100,6,0,6,0,3,0,3,0,0,0,0,0
MultiTenantHandler,12,0,12,0,12,0,12,0,8,0,8,0,8,0,0,0
NoPersistenceInformationException,0,0,0,100,2,0,2,0,1,0,1,0,0,0,0,0
NucleusJDOHelper,176,0,176,0,237,0,237,0,104,0,104,0,198,0,0,0
NumericExpressionImpl,0,0,0,100,126,0,126,0,34,0,34,0,31,0,0,0
ObjectExpressionImpl,0,0,0,100,6,0,6,0,3,0,3,0,0,0,0,0
OptionalExpressionImpl,0,0,0,100,12,0,12,0,5,0,5,0,3,0,0,0
OrderExpressionImpl,0,0,0,100,11,0,11,0,6,0,6,0,5,0,0,0
OrderMetadataImpl,8,0,8,0,33,0,33,0,15,0,15,0,18,0,0,0
PackageMetadataImpl,20,0,20,0,65,0,65,0,29,0,29,0,35,0,0,0
PersistableExpressionImpl,0,0,0,100,14,0,14,0,5,0,5,0,2,0,0,0
PersistentClean,12,0,12,0,48,0,48,0,19,0,19,0,38,0,0,0
PersistentDeleted,6,0,6,0,23,0,23,0,11,0,11,0,11,0,0,0
PersistentDirty,10,0,10,0,34,0,34,0,14,0,14,0,24,0,0,0
PersistentNew,6,0,6,0,24,0,24,0,11,0,11,0,14,0,0,0
PersistentNewDeleted,4,0,4,0,19,0,19,0,10,0,10,0,7,0,0,0
PersistentNontransactional,44,0,44,0,74,0,74,0,37,0,37,0,65,0,0,0
PersistentNontransactionalDirty,8,0,8,0,33,0,33,0,14,0,14,0,24,0,0,0
PointExpressionImpl,0,0,0,100,10,0,10,0,5,0,5,0,2,0,0,0
PolygonExpressionImpl,0,0,0,100,14,0,14,0,6,0,6,0,3,0,0,0
PrimaryKeyMetadataImpl,6,0,6,0,23,0,23,0,12,0,12,0,14,0,0,0
PropertyMetadataImpl,0,0,0,100,8,0,8,0,5,0,5,0,3,0,0,0
QueryMetadataImpl,8,0,8,0,29,0,29,0,19,0,19,0,18,0,0,0
ReadOnlyHandler,0,0,0,100,6,0,6,0,3,0,3,0,0,0,0,0
SequenceMetadataImpl,6,0,6,0,24,0,24,0,15,0,15,0,17,0,0,0
SharedRelationHandler,2,0,2,0,10,0,10,0,3,0,3,0,1,0,0,0
SoftDeleteHandler,4,0,4,0,7,0,7,0,4,0,4,0,3,0,0,0
StringExpressionImpl,0,0,0,100,128,0,128,0,33,0,33,0,30,0,0,0
TimeExpressionImpl,0,0,0,100,12,0,12,0,6,0,6,0,3,0,0,0
TransactionActiveException,0,0,0,100,2,0,2,0,1,0,1,0,0,0,0,0
TransactionCommitingException,0,0,0,100,2,0,2,0,1,0,1,0,0,0,0,0
TransactionNotActiveException,0,0,0,100,4,0,4,0,2,0,2,0,0,0,0,0
TransactionNotReadableException,0,0,0,100,4,0,4,0,2,0,2,0,0,0,0,0
TransactionNotWritableException,0,0,0,100,4,0,4,0,2,0,2,0,0,0,0,0
TransientClean,2,0,2,0,22,0,22,0,10,0,10,0,13,0,0,0
TransientDirty,4,0,4,0,17,0,17,0,8,0,8,0,10,0,0,0
TypeMetadataImpl,64,0,64,0,218,0,218,0,88,0,88,0,112,0,0,0
UniqueMetadataImpl,8,0,8,0,46,0,46,0,19,0,19,0,27,0,0,0
UpdateTimestampHandler,0,0,0,100,5,0,5,0,3,0,3,0,0,0,0,0
UpdateUserHandler,0,0,0,100,5,0,5,0,3,0,3,0,0,0,0,0
ValueMetadataImpl,62,0,62,0,133,0,133,0,55,0,55,0,87,0,0,0
VersionMetadataImpl,34,0,34,0,62,0,62,0,30,0,30,0,39,0,0,0
