GROUP,PACKAGE,CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Tota_Branch,LINE_MISSED,LINE_COVERED,Total_lines,Line Coveage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Complexity
Apache Commons Collections,org.apache.commons.collections4.bidimap,DualLinkedHashBidiMap,0,0,0,0.00%,3,14,17,82%,1,5,6
Apache Commons Collections,org.apache.commons.collections4.bidimap,AbstractDualBidiMap.BidiMapIterator,0,14,14,100.00%,4,33,37,89%,1,15,16
Apache Commons Collections,org.apache.commons.collections4.bidimap,AbstractDualBidiMap.View,0,14,14,100.00%,0,24,24,100%,0,11,11
Apache Commons Collections,org.apache.commons.collections4.bidimap,AbstractOrderedBidiMapDecorator,0,0,0,0.00%,2,7,9,78%,2,6,8
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap.ValueView,0,4,4,100.00%,0,7,7,100%,0,6,6
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap.KeyView,0,4,4,100.00%,0,7,7,100%,0,6,6
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap.ViewIterator,9,11,20,55.00%,12,27,39,69%,7,9,16
Apache Commons Collections,org.apache.commons.collections4.bidimap,UnmodifiableBidiMap,0,4,4,100.00%,0,23,23,100%,0,14,14
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap.Inverse,8,10,18,55.56%,12,34,46,74%,8,25,33
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap.Node,6,17,23,73.91%,2,49,51,96%,6,27,33
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap.EntryView,1,11,12,91.67%,1,18,19,95%,1,9,10
Apache Commons Collections,org.apache.commons.collections4.bidimap,DualTreeBidiMap,2,10,12,83.33%,9,51,60,85%,5,21,26
Apache Commons Collections,org.apache.commons.collections4.bidimap,DualTreeBidiMap.ViewMap,0,2,2,100.00%,5,8,13,62%,5,5,10
Apache Commons Collections,org.apache.commons.collections4.bidimap,DualHashBidiMap,0,0,0,0.00%,3,14,17,82%,1,5,6
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap.View,0,0,0,0.00%,0,7,7,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4.bidimap,AbstractDualBidiMap.KeySet,0,2,2,100.00%,0,9,9,100%,0,5,5
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap.DataElement,0,0,0,0.00%,0,6,6,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4.bidimap,DualTreeBidiMap.BidiOrderedMapIterator,0,12,12,100.00%,6,29,35,83%,3,14,17
Apache Commons Collections,org.apache.commons.collections4.bidimap,UnmodifiableOrderedBidiMap,0,4,4,100.00%,0,24,24,100%,0,15,15
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap.ViewMapEntryIterator,0,0,0,0.00%,1,4,5,80%,1,2,3
Apache Commons Collections,org.apache.commons.collections4.bidimap,AbstractDualBidiMap.ValuesIterator,0,2,2,100.00%,0,15,15,100%,0,4,4
Apache Commons Collections,org.apache.commons.collections4.bidimap,AbstractBidiMapDecorator,0,0,0,0.00%,3,5,8,63%,3,4,7
Apache Commons Collections,org.apache.commons.collections4.bidimap,TreeBidiMap.InverseEntryView,1,11,12,91.67%,1,18,19,95%,1,9,10
Apache Commons Collections,org.apache.commons.collections4.bidimap,UnmodifiableSortedBidiMap,0,4,4,100.00%,0,29,29,100%,0,17,17
Apache Commons Collections,org.apache.commons.collections4.bidimap,AbstractDualBidiMap.EntrySetIterator,0,2,2,100.00%,0,16,16,100%,0,4,4
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap.EntrySetIterator,0,0,0,0.00%,1,3,4,75%,1,2,3
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableEntrySet,2,10,12,83.33%,1,27,28,96%,2,15,17
Apache Commons Collections,org.apache.commons.collections4.map,LazyMap,0,6,6,100.00%,0,24,24,100%,0,10,10
