GROUP,PACKAGE,CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Tota_Branch,LINE_MISSED,LINE_COVERED,Total_lines,Line Coveage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Complexity
Apache Commons Collections,org.apache.commons.collections4.iterators,NodeListIterator,3,9,12,75.00%,1,15,16,94%,3,8,11
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractEmptyMapIterator,0,0,0,0.00%,0,5,5,100%,0,4,4
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractIteratorDecorator,0,0,0,0.00%,0,3,3,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectGraphIterator,0,30,30,100.00%,0,56,56,100%,0,23,23
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableIterator,0,4,4,100.00%,0,12,12,100%,0,7,7
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorIterable.new Iterator() {...},0,0,0,0.00%,2,3,5,60%,1,3,4
Apache Commons Collections,org.apache.commons.collections4.iterators,LazyIteratorChain,0,12,12,100.00%,0,28,28,100%,0,11,11
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractMapIteratorDecorator,2,0,2,0.00%,13,0,13,0%,9,0,9
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractOrderedMapIteratorDecorator,2,0,2,0.00%,15,0,15,0%,11,0,11
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableListIterator,0,4,4,100.00%,0,18,18,100%,0,13,13
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingListIterator,3,21,24,87.50%,4,39,43,91%,4,21,25
Apache Commons Collections,org.apache.commons.collections4.iterators,PeekingIterator,3,21,24,87.50%,4,35,39,90%,3,17,20
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonListIterator,2,26,28,92.86%,0,32,32,100%,2,23,25
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableMapIterator,0,4,4,100.00%,0,15,15,100%,0,10,10
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyListIterator,0,0,0,0.00%,1,5,6,83%,1,3,4
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterListIterator,6,30,36,83.33%,18,60,78,77%,15,24,39
Apache Commons Collections,org.apache.commons.collections4.iterators,CollatingIterator,10,38,48,79.17%,19,86,105,82%,11,35,46
Apache Commons Collections,org.apache.commons.collections4.iterators,UniqueFilterIterator,0,0,0,0.00%,0,2,2,100%,0,1,1
Apache Commons Collections,org.apache.commons.collections4.iterators,PermutationIterator,0,34,34,100.00%,0,45,45,100%,0,21,21
Apache Commons Collections,org.apache.commons.collections4.iterators,PushbackIterator,3,5,8,62.50%,3,12,15,80%,3,7,10
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorEnumeration,0,0,0,0.00%,4,6,10,60%,2,4,6
Apache Commons Collections,org.apache.commons.collections4.iterators,EntrySetMapIterator,10,0,10,0.00%,31,0,31,0%,14,0,14
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyOrderedIterator,0,0,0,0.00%,0,4,4,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayIterator,0,10,10,100.00%,3,28,31,90%,3,13,16
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractEmptyIterator,0,0,0,0.00%,0,12,12,100%,0,11,11
Apache Commons Collections,org.apache.commons.collections4.iterators,ListIteratorWrapper,8,32,40,80.00%,11,61,72,85%,8,23,31
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayListIterator,0,8,8,100.00%,3,23,26,88%,1,14,15
Apache Commons Collections,org.apache.commons.collections4,PredicateUtils,0,0,0,0.00%,6,25,31,81%,6,23,29
Apache Commons Collections,org.apache.commons.collections4,FunctorException,0,0,0,0.00%,4,4,8,50%,2,2,4
Apache Commons Collections,org.apache.commons.collections4,EnumerationUtils,0,2,2,100.00%,0,5,5,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4,BagUtils,0,0,0,0.00%,3,11,14,79%,3,9,12
Apache Commons Collections,org.apache.commons.collections4,ListUtils.LcsVisitor,0,0,0,0.00%,0,8,8,100%,0,5,5
Apache Commons Collections,org.apache.commons.collections4,SetUtils,1,15,16,93.75%,10,17,27,63%,11,12,23
Apache Commons Collections,org.apache.commons.collections4,ComparatorUtils,17,1,18,5.56%,24,5,29,17%,16,4,20
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.SetOperationCardinalityHelper,0,2,2,100.00%,0,11,11,100%,0,5,5
Apache Commons Collections,org.apache.commons.collections4,IteratorUtils,55,15,70,21.43%,81,53,134,40%,52,33,85
Apache Commons Collections,org.apache.commons.collections4,ClosureUtils,0,4,4,100.00%,0,28,28,100%,0,18,18
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils,3,7,10,70.00%,3,8,11,73%,3,4,7
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils,16,290,306,94.77%,6,369,375,98%,15,202,217
Apache Commons Collections,org.apache.commons.collections4,TrieUtils,0,0,0,0.00%,0,1,1,100%,0,1,1
Apache Commons Collections,org.apache.commons.collections4,ArrayStack,6,10,16,62.50%,4,26,30,87%,5,11,16
Apache Commons Collections,org.apache.commons.collections4,FactoryUtils,0,0,0,0.00%,2,4,6,67%,2,4,6
Apache Commons Collections,org.apache.commons.collections4,MapUtils,114,70,184,38.04%,196,106,302,35%,112,53,165
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.EquatorWrapper,1,1,2,50.00%,1,9,10,90%,1,4,5
Apache Commons Collections,org.apache.commons.collections4,ListUtils,9,65,74,87.84%,9,89,98,91%,13,47,60
Apache Commons Collections,org.apache.commons.collections4,QueueUtils,0,0,0,0.00%,0,5,5,100%,0,5,5
Apache Commons Collections,org.apache.commons.collections4,ListUtils.Partition,3,3,6,50.00%,4,12,16,75%,4,3,7
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.new Transformer() {...},0,0,0,0.00%,0,2,2,100%,0,2,2
Apache Commons Collections,org.apache.commons.collections4,ListUtils.CharSequenceAsList,0,0,0,0.00%,0,5,5,100%,0,3,3
Apache Commons Collections,org.apache.commons.collections4,MapUtils.new AbstractMapDecorator() {...},0,0,0,0.00%,0,1,1,100%,0,1,1
Apache Commons Collections,org.apache.commons.collections4,MapUtils.new AbstractSortedMapDecorator() {...},0,0,0,0.00%,0,1,1,100%,0,1,1
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils.WrappedGet,4,4,8,50.00%,6,17,23,74%,8,12,20
Apache Commons Collections,org.apache.commons.collections4,TransformerUtils,0,4,4,100.00%,0,32,32,100%,0,23,23
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.CardinalityHelper,0,2,2,100.00%,0,12,12,100%,0,7,7
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils.WrappedPut,3,3,6,50.00%,1,20,21,95%,3,15,18
Apache Commons Collections,org.apache.commons.collections4.queue,AbstractQueueDecorator,0,0,0,0.00%,6,4,10,40%,5,3,8
Apache Commons Collections,org.apache.commons.collections4.queue,TransformedQueue,1,3,4,75.00%,0,16,16,100%,1,10,11
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue.new Iterator() {...},0,18,18,100.00%,0,32,32,100%,0,13,13
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue,4,44,48,91.67%,6,86,92,93%,5,40,45
Apache Commons Collections,org.apache.commons.collections4.queue,PredicatedQueue,0,0,0,0.00%,0,10,10,100%,0,8,8
Apache Commons Collections,org.apache.commons.collections4.queue,UnmodifiableQueue,0,2,2,100.00%,2,20,22,91%,2,13,15
