CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_covergae,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
MapUtils.new AbstractSortedMapDecorator() {...},0,0,0,100,0,1,1,1,0,1,1
SplitMapUtils.WrappedGet,4,4,8,0.5,6,17,23,0.739130435,8,12,20
TransformerUtils,0,4,4,1,0,34,34,1,0,25,25
CollectionUtils.CardinalityHelper,0,2,2,1,0,12,12,1,0,7,7
SplitMapUtils.WrappedPut,3,3,6,0.5,1,20,21,0.952380952,3,15,18
AbstractMapMultiSet.MutableInteger,4,0,4,0,4,3,7,0.428571429,4,1,5
AbstractMapMultiSet.UniqueSetIterator,0,2,2,1,0,16,16,1,0,4,4
SynchronizedMultiSet.SynchronizedSet,0,0,0,100,0,2,2,1,0,1,1
AbstractMultiSet.EntrySet,10,0,10,0,16,4,20,0.2,8,2,10
AbstractMultiSetDecorator,0,4,4,1,7,6,13,0.461538462,6,7,13
AbstractMultiSet.AbstractEntry,12,0,12,0,9,2,11,0.181818182,8,2,10
HashMultiSet,0,0,0,100,0,12,12,1,0,4,4
SynchronizedMultiSet,0,2,2,1,7,19,26,0.730769231,3,10,13
AbstractMapMultiSet.MapBasedMultiSetIterator,1,13,14,0.928571429,1,26,27,0.962962963,1,10,11
AbstractMapMultiSet,5,43,48,0.895833333,3,101,104,0.971153846,5,40,45
AbstractMultiSet.UniqueSet,0,2,2,1,0,10,10,1,0,8,8
AbstractMapMultiSet.MultiSetEntry,0,0,0,100,0,5,5,1,0,3,3
AbstractMultiSet.MultiSetIterator,4,6,10,0.6,8,13,21,0.619047619,3,6,9
AbstractMultiSet.new Transformer() {...},0,0,0,100,0,2,2,1,0,2,2
PredicatedMultiSet,0,4,4,1,3,11,14,0.785714286,2,11,13
AbstractMapMultiSet.EntrySetIterator,2,0,2,0,6,10,16,0.625,2,3,5
AbstractMultiSet,27,19,46,0.413043478,44,33,77,0.428571429,24,21,45
UnmodifiableMultiSet,0,2,2,1,5,21,26,0.807692308,4,13,17
SynchronizedQueue,0,2,2,1,2,20,22,0.909090909,1,11,12
AbstractQueueDecorator,0,0,0,100,6,4,10,0.4,5,3,8
TransformedQueue,1,3,4,0.75,0,16,16,1,1,10,11
CircularFifoQueue.new Iterator() {...},0,18,18,1,0,32,32,1,0,13,13
CircularFifoQueue,4,44,48,0.916666667,6,86,92,0.934782609,5,40,45
PredicatedQueue,0,0,0,100,0,10,10,1,0,8,8
UnmodifiableQueue,0,2,2,1,2,20,22,0.909090909,2,13,15
