CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_covergae,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
SimplexOptimizer.new MultivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2
AbstractSimplex,13,41,54,0.759259259,14,75,89,0.842696629,14,27,41
BOBYQAOptimizer.PathIsExploredException,0,0,0,100,2,0,2,0,1,0,1
BOBYQAOptimizer,105,519,624,0.831730769,157,1027,1184,0.867398649,90,243,333
PowellOptimizer.LineSearch.new UnivariateFunction() {...},0,2,2,1,0,6,6,1,0,3,3
MultivariateFunctionMappingAdapter.UpperBoundMapper,0,0,0,100,0,5,5,1,0,3,3
MultivariateFunctionMappingAdapter.LowerBoundMapper,0,0,0,100,0,5,5,1,0,3,3
MultiDirectionalSimplex,0,8,8,1,2,42,44,0.954545455,1,13,14
MultivariateFunctionPenaltyAdapter,3,17,20,0.85,3,26,29,0.896551724,3,9,12
CMAESOptimizer.DoubleIndex,6,0,6,0,7,5,12,0.416666667,5,2,7
BaseAbstractMultivariateOptimizer,5,33,38,0.868421053,3,62,65,0.953846154,6,29,35
BaseAbstractMultivariateVectorOptimizer,11,11,22,0.5,18,42,60,0.7,13,17,30
MultivariateFunctionMappingAdapter.LowerUpperBoundMapper,0,0,0,100,0,6,6,1,0,3,3
MultivariateFunctionMappingAdapter.NoBoundsMapper,0,0,0,100,0,4,4,1,0,3,3
MultivariateFunctionMappingAdapter,2,16,18,0.888888889,2,26,28,0.928571429,2,11,13
Beta,5,83,88,0.943181818,7,128,135,0.948148148,8,47,55
Gamma.new ContinuedFraction() {...},0,0,0,100,0,3,3,1,0,3,3
Gamma,7,83,90,0.922222222,5,158,163,0.969325153,7,50,57
Beta.new ContinuedFraction() {...},0,2,2,1,0,8,8,1,0,4,4
Erf,0,28,28,1,0,84,84,1,0,19,19
MixtureMultivariateRealDistribution,3,19,22,0.863636364,2,43,45,0.955555556,3,14,17
BetaDistribution,9,11,20,0.55,11,39,50,0.78,10,18,28
GammaDistribution,4,28,32,0.875,9,80,89,0.898876404,6,30,36
AbstractRealDistribution.new UnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2
ZipfDistribution,0,22,22,1,1,54,55,0.981818182,1,25,26
TriangularDistribution,4,36,40,0.9,3,58,61,0.950819672,7,27,34
FDistribution,0,12,12,1,2,54,56,0.964285714,1,23,24
EnumeratedDistribution,14,22,36,0.611111111,17,40,57,0.701754386,11,15,26
ChiSquaredDistribution,0,0,0,100,2,20,22,0.909090909,1,15,16
SaddlePointExpansion,1,15,16,0.9375,1,41,42,0.976190476,1,11,12
UniformRealDistribution,0,14,14,1,5,31,36,0.861111111,3,20,23
ExponentialDistribution,0,24,24,1,4,61,65,0.938461538,3,28,31
HypergeometricDistribution,1,27,28,0.964285714,2,74,76,0.973684211,2,31,33
TDistribution,1,13,14,0.928571429,2,44,46,0.956521739,2,21,23
AbstractMultivariateRealDistribution,1,3,4,0.75,2,12,14,0.857142857,1,5,6
EnumeratedIntegerDistribution,0,24,24,1,0,43,43,1,0,22,22
PascalDistribution,3,9,12,0.75,4,34,38,0.894736842,4,14,18
GeometricDistribution,2,8,10,0.8,3,27,30,0.9,4,12,16
BinomialDistribution,3,17,20,0.85,4,27,31,0.870967742,4,18,22
CauchyDistribution,0,10,10,1,6,30,36,0.833333333,4,19,23
KolmogorovSmirnovDistribution,12,36,48,0.75,16,59,75,0.786666667,13,18,31
MixtureMultivariateNormalDistribution,0,2,2,1,2,9,11,0.818181818,1,4,5
UniformIntegerDistribution,0,16,16,1,1,29,30,0.966666667,1,17,18
NormalDistribution,0,12,12,1,2,46,48,0.958333333,2,27,29
PoissonDistribution,4,40,44,0.909090909,8,99,107,0.925233645,7,32,39
ParetoDistribution,1,13,14,0.928571429,5,39,44,0.886363636,3,24,27
LogNormalDistribution,2,16,18,0.888888889,4,56,60,0.933333333,4,27,31
AbstractIntegerDistribution,9,35,44,0.795454545,9,56,65,0.861538462,9,23,32
LevyDistribution,3,7,10,0.7,5,26,31,0.838709677,5,14,19
AbstractRealDistribution,5,39,44,0.886363636,3,65,68,0.955882353,6,27,33
MultivariateNormalDistribution,6,22,28,0.785714286,10,49,59,0.830508475,6,16,22
WeibullDistribution,4,18,22,0.818181818,7,61,68,0.897058824,7,24,31
EnumeratedRealDistribution,3,31,34,0.911764706,1,58,59,0.983050847,3,28,31
EuclideanDoublePoint,1,7,,,2,16,,,2,9,
EuclideanIntegerPoint,1,7,,,2,16,,,2,9,
Cluster,0,0,,,0,8,,,0,4,
DBSCANClusterer.PointStatus,0,0,,,0,3,,,0,1,
KMeansPlusPlusClusterer.EmptyClusterStrategy,0,0,,,0,5,,,0,1,
KMeansPlusPlusClusterer,14,78,,,8,158,,,12,45,
DBSCANClusterer,0,28,,,0,53,,,0,21,
AlternativeHypothesis,0,0,,,0,4,,,0,1,
TestUtils,0,0,,,11,44,,,11,40,
WilcoxonSignedRankTest,2,34,,,5,55,,,3,24,
ChiSquareTest,8,56,,,4,101,,,8,35,
GTest,6,50,,,2,87,,,6,33,
OneWayAnova.AnovaStats,0,0,,,0,5,,,0,1,
MannWhitneyUTest,0,10,,,3,31,,,1,11,
OneWayAnova,2,18,,,2,55,,,2,15,
KolmogorovSmirnovTest,34,76,,,45,141,,,31,45,
TTest,1,23,,,5,98,,,2,41,
BinomialTest,7,19,,,7,30,,,7,10,
HarmonicCurveFitter.ParameterGuesser,2,28,,,1,95,,,2,18,
GaussianFitter.new Gaussian.Parametric() {...},0,0,,,1,10,,,0,3,
PolynomialCurveFitter,1,3,,,2,26,,,2,6,
AbstractCurveFitter.TheoreticalValuesFunction.new MultivariateVectorFunction() {...},0,2,,,0,6,,,0,3,
AbstractCurveFitter.TheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,2,,,0,6,,,0,3,
WeightedObservedPoint,0,0,,,0,8,,,0,4,
GaussianFitter.ParameterGuesser.new Comparator() {...},15,5,,,13,7,,,10,2,
HarmonicFitter.ParameterGuesser,2,28,,,1,93,,,2,18,
GaussianCurveFitter.ParameterGuesser.new Comparator() {...},15,5,,,13,7,,,10,2,
GaussianFitter,0,0,,,0,6,,,0,3,
AbstractCurveFitter.TheoreticalValuesFunction,0,2,,,0,11,,,0,4,
AbstractCurveFitter,0,0,,,0,3,,,0,3,
CurveFitter.TheoreticalValuesFunction,0,0,,,0,5,,,0,3,
GaussianCurveFitter,0,4,,,0,28,,,0,8,
PolynomialFitter,0,0,,,1,3,,,1,2,
HarmonicFitter,0,0,,,0,4,,,0,3,
CurveFitter.TheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,2,,,0,7,,,0,3,
CurveFitter.TheoreticalValuesFunction.new MultivariateVectorFunction() {...},0,2,,,0,7,,,0,3,
GaussianCurveFitter.new Gaussian.Parametric() {...},0,0,,,0,11,,,0,3,
GaussianFitter.ParameterGuesser,6,28,,,5,55,,,6,19,
WeightedObservedPoints,0,0,,,0,11,,,0,6,
HarmonicCurveFitter,0,4,,,1,27,,,1,7,
GaussianCurveFitter.ParameterGuesser,6,28,,,5,55,,,6,19,
CurveFitter,0,2,,,2,26,,,1,8,
Target,0,0,,,0,4,,,0,2,
PointValuePair,2,4,,,0,10,,,2,6,
MultivariateMultiStartOptimizer,0,0,,,0,2,,,0,1,
PointValuePair.DataTransferObject,0,0,,,0,5,,,0,2,
SimpleValueChecker,1,9,,,3,16,,,2,7,
SimplePointChecker,2,10,,,3,21,,,3,7,
LeastSquaresConverter,3,15,,,3,35,,,3,10,
BaseMultivariateVectorMultiStartOptimizer,3,11,,,5,30,,,4,10,
SimpleVectorValueChecker,0,12,,,3,21,,,1,9,
DifferentiableMultivariateMultiStartOptimizer,0,0,,,2,0,,,1,0,
BaseMultivariateMultiStartOptimizer,5,9,,,8,25,,,6,8,
AbstractConvergenceChecker,0,0,,,4,8,,,1,4,
Weight,2,0,,,6,4,,,2,2,
PointVectorValuePair.DataTransferObject,0,0,,,0,5,,,0,2,
MultivariateDifferentiableVectorMultiStartOptimizer,0,0,,,0,2,,,0,1,
BaseMultivariateVectorMultiStartOptimizer.new Comparator() {...},2,6,,,1,11,,,2,5,
BaseMultivariateMultiStartOptimizer.new Comparator() {...},5,3,,,2,7,,,4,2,
MultivariateDifferentiableMultiStartOptimizer,0,0,,,0,2,,,0,1,
InitialGuess,0,0,,,0,4,,,0,2,
SimpleBounds,0,0,,,0,6,,,0,3,
GoalType,0,0,,,0,3,,,0,1,
DifferentiableMultivariateVectorMultiStartOptimizer,0,0,,,2,0,,,1,0,
PointVectorValuePair,3,9,,,0,13,,,3,10,
NaturalRanking,2,54,,,13,118,,,5,44,
NaNStrategy,0,0,,,0,6,,,0,1,
TiesStrategy,0,0,,,0,6,,,0,1,
NaturalRanking.IntDoublePair,0,0,,,0,7,,,0,4,
SumOfSquares,1,3,,,3,27,,,2,9,
Product,2,6,,,3,34,,,3,12,
SumOfLogs,1,3,,,3,27,,,2,9,
Sum,2,6,,,4,33,,,4,11,
NeuronSquareMesh2D,8,111,,,8,118,,,11,58,
NeuronSquareMesh2D.SerializationProxy,0,0,,,0,7,,,0,2,
PolynomialFunctionNewtonForm,3,15,,,7,44,,,5,14,
PolynomialFunctionLagrangeForm,3,31,,,15,73,,,5,22,
PolynomialsUtils.JacobiKey,4,4,,,1,8,,,4,3,
PolynomialSplineFunction,11,19,,,10,37,,,8,16,
PolynomialsUtils,0,20,,,0,72,,,0,19,
PolynomialFunction,16,46,,,26,83,,,15,33,
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,,,0,3,,,0,2,
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,,,0,3,,,0,2,
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,,,0,2,,,0,2,
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,,,0,8,,,0,2,
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,,,0,3,,,0,2,
PolynomialFunction.Parametric,0,2,,,0,8,,,0,4,
AklToussaintHeuristic,3,41,,,2,44,,,3,22,
MonotoneChain,3,29,,,2,50,,,4,17,
ConvexHull2D,2,28,,,1,53,,,2,19,
MonotoneChain.new Comparator() {...},0,2,,,0,5,,,0,3,
AbstractConvexHullGenerator2D,0,2,,,0,16,,,0,6,
BigFractionFormat,2,19,,,8,54,,,7,18,
FractionField,0,0,,,0,5,,,0,5,
FractionField.LazyHolder,0,0,,,0,1,,,0,1,
FractionConversionException,0,0,,,0,4,,,0,2,
BigFractionField,0,0,,,0,5,,,0,5,
FractionFormat,1,12,,,8,43,,,7,14,
ProperBigFractionFormat,4,23,,,9,58,,,5,16,
BigFraction,10,92,,,14,229,,,11,95,
AbstractFormat,3,9,,,5,33,,,5,14,
ProperFractionFormat,4,15,,,9,54,,,5,12,
BigFractionField.LazyHolder,0,0,,,0,1,,,0,1,
Fraction,8,90,,,5,179,,,8,73,
LearningFactorFunctionFactory,0,8,,,0,6,,,0,6,
KohonenUpdateAction,1,9,,,1,40,,,2,9,
LearningFactorFunctionFactory.new LearningFactorFunction() {...},0,0,,,0,3,,,0,2,
LearningFactorFunctionFactory.new LearningFactorFunction() {...},0,0,,,0,3,,,0,2,
NeighbourhoodSizeFunctionFactory.new NeighbourhoodSizeFunction() {...},0,0,,,0,3,,,0,2,
NeighbourhoodSizeFunctionFactory.new NeighbourhoodSizeFunction() {...},0,0,,,0,3,,,0,2,
NeighbourhoodSizeFunctionFactory,0,0,,,0,2,,,0,2,
KohonenTrainingTask,0,2,,,0,8,,,0,3,
OrderedCrossover,0,14,,,0,37,,,0,10,
ChromosomePair,0,0,,,1,6,,,1,3,
FixedElapsedTime,1,5,,,3,8,,,2,4,
InvalidRepresentationException,0,0,,,0,2,,,0,1,
RandomKey,3,29,,,4,63,,,4,24,
TournamentSelection,1,3,,,5,13,,,3,4,
BinaryMutation,1,3,,,1,8,,,1,3,
BinaryChromosome,1,15,,,1,22,,,1,12,
Chromosome,1,7,,,1,15,,,2,8,
RandomKeyMutation,1,1,,,2,8,,,1,2,
ElitisticListPopulation,0,6,,,0,20,,,0,8,
OnePointCrossover,3,7,,,2,18,,,3,5,
TournamentSelection.new ListPopulation() {...},0,0,,,1,1,,,1,1,
CycleCrossover,1,21,,,2,42,,,2,14,
ListPopulation,5,17,,,9,41,,,4,20,
NPointCrossover,1,15,,,2,35,,,2,10,
FixedGenerationCount,1,3,,,2,9,,,2,3,
AbstractListChromosome,1,1,,,0,12,,,1,6,
GeneticAlgorithm,6,12,,,6,39,,,7,14,
UniformCrossover,0,14,,,1,24,,,1,10,
Frequency,9,47,,,11,143,,,8,57,
Frequency.NaturalComparator,0,0,,,0,1,,,0,1,
StatUtils,7,23,,,10,80,,,7,42,
Neuron.SerializationProxy,0,0,,,0,5,,,0,2,
Neuron,2,10,,,3,22,,,3,11,
FeatureInitializerFactory.new FeatureInitializer() {...},0,0,,,0,2,,,0,2,
FeatureInitializerFactory.new FeatureInitializer() {...},0,0,,,0,5,,,0,2,
Network,9,35,,,10,98,,,11,30,
Network.SerializationProxy,0,0,,,0,7,,,0,2,
SquareNeighbourhood,0,0,,,0,3,,,0,1,
MapUtils,32,4,,,71,9,,,21,3,
FeatureInitializerFactory,0,0,,,2,4,,,1,3,
Network.NeuronIdentifierComparator,2,2,,,0,4,,,2,2,
NormalApproximationInterval,0,0,,,0,8,,,0,2,
IntervalUtils,0,10,,,0,19,,,0,11,
ClopperPearsonInterval,2,2,,,0,14,,,2,2,
WilsonScoreInterval,0,0,,,0,15,,,0,2,
ConfidenceInterval,3,3,,,3,12,,,4,5,
AgrestiCoullInterval,0,0,,,0,11,,,0,2,
PolyhedronsSet.TranslationTransform,0,2,,,0,15,,,0,5,
SphericalCoordinates.DataTransferObject,0,0,,,0,6,,,0,2,
RotationOrder,0,0,,,0,22,,,0,6,
FieldRotation,3,105,,,0,431,,,3,88,
OutlineExtractor,14,0,,,34,0,,,10,0,
Vector3DFormat,1,3,,,4,19,,,2,9,
PolyhedronsSet.FacetsContributionVisitor,4,4,,,4,22,,,4,5,
Line,4,12,,,7,46,,,8,21,
SubLine,0,14,,,2,28,,,1,13,
Rotation,3,105,,,0,365,,,3,76,
Segment,0,0,,,0,8,,,0,4,
PolyhedronsSet.RotationTransform,0,2,,,0,23,,,0,5,
SphereGenerator,0,8,,,0,62,,,0,7,
PolyhedronsSet,29,5,,,48,27,,,23,10,
SubPlane,2,16,,,0,44,,,2,11,
Vector3D,0,46,,,0,142,,,0,71,
Euclidean3D,0,0,,,0,4,,,0,4,
NotARotationMatrixException,0,0,,,0,2,,,0,1,
Plane,3,19,,,26,93,,,11,37,
CardanEulerSingularityException,0,2,,,0,2,,,0,2,
OutlineExtractor.BoundaryProjector,34,0,,,63,0,,,23,0,
SphericalCoordinates,2,2,,,0,117,,,2,11,
FieldVector3D,0,72,,,0,259,,,0,118,
Euclidean3D.LazyHolder,0,0,,,0,1,,,0,1,
SmallPrimes,4,30,,,4,53,,,4,18,
Primes,0,26,,,0,29,,,0,16,
PollardRho,22,0,,,60,0,,,14,0,
AVLTree.Node,2,108,,,0,196,,,2,72,
AVLTree.Skew,0,0,,,0,4,,,0,1,
AVLTree,6,30,,,2,40,,,6,21,
OrderedTuple,30,64,,,29,94,,,25,34,
OutOfRangeException,0,0,,,0,8,,,0,4,
DimensionMismatchException,0,0,,,0,6,,,0,3,
MaxCountExceededException,0,0,,,0,7,,,0,3,
NoBracketingException,0,0,,,4,8,,,4,2,
MathUnsupportedOperationException,0,0,,,3,6,,,3,2,
MathArithmeticException,0,0,,,1,10,,,1,4,
NotStrictlyPositiveException,0,0,,,0,4,,,0,2,
MathParseException,0,0,,,4,4,,,1,1,
MathRuntimeException,0,0,,,7,0,,,4,0,
NullArgumentException,0,0,,,0,4,,,0,2,
NotPositiveException,0,0,,,0,4,,,0,2,
TooManyEvaluationsException,0,0,,,0,3,,,0,1,
ZeroException,0,0,,,0,4,,,0,2,
NumberIsTooLargeException,0,2,,,0,8,,,0,5,
MultiDimensionMismatchException,0,0,,,4,6,,,3,3,
MathIllegalArgumentException,0,0,,,1,6,,,1,3,
NonMonotonicSequenceException,0,6,,,0,13,,,0,9,
NoDataException,0,0,,,0,4,,,0,2,
TooManyIterationsException,0,0,,,0,3,,,0,1,
ConvergenceException,0,0,,,0,5,,,0,2,
NotFiniteNumberException,0,0,,,0,4,,,0,2,
MathInternalError,0,0,,,7,0,,,3,0,
MathIllegalStateException,0,0,,,5,8,,,2,4,
NumberIsTooSmallException,0,2,,,0,8,,,0,5,
NotANumberException,0,0,,,0,2,,,0,1,
InsufficientDataException,0,0,,,2,2,,,1,1,
MathIllegalNumberException,0,0,,,0,5,,,0,3,
LevenbergMarquardtOptimizer,19,187,,,14,363,,,18,97,
AbstractLeastSquaresOptimizer,2,12,,,2,41,,,2,18,
GaussNewtonOptimizer,3,23,,,2,59,,,3,14,
MultivariateNormalMixtureExpectationMaximization.DataRow,4,2,,,6,9,,,4,4,
MultivariateNormalMixtureExpectationMaximization,3,51,,,3,108,,,3,30,
SubCircle,0,12,,,0,22,,,0,10,
Edge,1,11,,,4,47,,,1,14,
Sphere2D,0,0,,,1,3,,,1,3,
S2Point,4,16,,,1,42,,,4,21,
Circle,0,2,,,1,43,,,1,24,
Sphere2D.LazyHolder,0,0,,,0,1,,,0,1,
EdgesBuilder,1,23,,,1,52,,,1,18,
PropertiesComputer,3,13,,,3,41,,,3,14,
Vertex,1,5,,,1,23,,,1,10,
SphericalPolygonsSet,13,69,,,7,146,,,11,45,
Circle.CircleTransform,0,0,,,0,10,,,0,4,
ComplexField.LazyHolder,0,0,,,0,1,,,0,1,
Complex,17,165,,,10,223,,,19,121,
ComplexField,0,0,,,1,4,,,1,4,
Quaternion,6,26,,,6,97,,,6,40,
ComplexUtils,0,4,,,0,8,,,0,4,
ComplexFormat,17,21,,,35,76,,,18,22,
RootsOfUnity,5,19,,,8,40,,,5,13,
SobolSequenceGenerator,6,36,,,13,85,,,6,23,
UncorrelatedRandomVectorGenerator,1,3,,,1,16,,,1,4,
RandomGeneratorFactory.new RandomGenerator() {...},0,2,,,2,16,,,1,12,
BitsStreamGenerator,4,14,,,7,48,,,3,17,
ValueServer,2,23,,,7,78,,,3,38,
UniformRandomGenerator,0,0,,,0,5,,,0,3,
ISAACRandom,1,19,,,5,124,,,2,21,
RandomDataGenerator,17,53,,,26,137,,,14,56,
AbstractRandomGenerator,5,17,,,7,40,,,5,17,
SynchronizedRandomGenerator,0,0,,,6,12,,,3,9,
StableRandomGenerator,5,19,,,9,31,,,4,10,
Well19937c,0,0,,,0,26,,,0,5,
Well19937a,0,0,,,2,22,,,1,4,
GaussianRandomGenerator,0,0,,,0,4,,,0,2,
UnitSphereRandomVectorGenerator,0,4,,,0,16,,,0,5,
Well44497a,0,2,,,4,22,,,2,4,
Well44497b,0,2,,,0,28,,,0,6,
MersenneTwister,1,27,,,2,74,,,1,22,
CorrelatedRandomVectorGenerator,3,7,,,12,19,,,4,7,
EmpiricalDistribution.DataAdapter,0,0,,,0,1,,,0,1,
RandomAdaptor,4,2,,,7,16,,,5,12,
HaltonSequenceGenerator,0,16,,,0,33,,,0,15,
Well1024a,0,0,,,2,20,,,1,4,
RandomDataImpl,0,0,,,30,13,,,26,8,
EmpiricalDistribution.StreamDataAdapter,0,4,,,0,23,,,0,5,
AbstractWell,0,8,,,0,39,,,0,11,
RandomGeneratorFactory,2,0,,,5,1,,,2,1,
Well512a,0,0,,,4,17,,,2,3,
EmpiricalDistribution.ArrayDataAdapter,0,4,,,0,14,,,0,5,
JDKRandomGenerator,0,0,,,2,3,,,1,2,
EmpiricalDistribution,8,42,,,18,148,,,14,50,
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,3,,,3,12,,,3,3,
FunctionUtils.new DifferentiableUnivariateFunction() {...},0,0,,,0,3,,,0,3,
FunctionUtils.new MultivariateDifferentiableFunction() {...},3,11,,,4,22,,,4,6,
FunctionUtils.new DifferentiableMultivariateFunction() {...},0,0,,,1,3,,,1,3,
FunctionUtils.new MultivariateDifferentiableVectorFunction() {...},3,13,,,3,26,,,3,8,
FunctionUtils.new DifferentiableMultivariateVectorFunction() {...},0,0,,,0,3,,,0,3,
FunctionUtils.new MultivariateFunction() {...},0,2,,,0,5,,,0,3,
FunctionUtils.new UnivariateFunction() {...},0,0,,,0,2,,,0,2,
FunctionUtils.new UnivariateFunction() {...},0,0,,,0,2,,,0,2,
FunctionUtils.new UnivariateFunction() {...},0,0,,,0,2,,,0,2,
FunctionUtils.18.new MultivariateMatrixFunction() {...},0,6,,,0,14,,,0,5,
FunctionUtils.16.new MultivariateFunction() {...},4,0,,,9,0,,,4,0,
FunctionUtils.16.new MultivariateVectorFunction() {...},0,4,,,0,13,,,0,4,
FunctionUtils.6.new UnivariateFunction() {...},2,0,,,5,0,,,3,0,
FunctionUtils.new DifferentiableUnivariateFunction() {...},2,0,,,6,0,,,4,0,
FunctionUtils.3.new UnivariateFunction() {...},2,0,,,7,0,,,3,0,
FunctionUtils.new UnivariateFunction() {...},0,2,,,0,5,,,0,3,
FunctionUtils.new UnivariateFunction() {...},0,2,,,0,5,,,0,3,
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,2,,,4,5,,,2,3,
FunctionUtils.new UnivariateFunction() {...},0,2,,,0,5,,,0,3,
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,2,,,4,5,,,2,3,
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,2,,,4,5,,,2,3,
FunctionUtils.new DifferentiableUnivariateFunction() {...},2,0,,,6,0,,,4,0,
FunctionUtils.new DifferentiableUnivariateFunction() {...},2,0,,,6,0,,,4,0,
FunctionUtils.9.new UnivariateFunction() {...},6,0,,,9,0,,,5,0,
FunctionUtils,0,6,,,3,27,,,3,21,
FunctionUtils.14.new UnivariateFunction() {...},0,0,,,0,2,,,0,2,
FiniteDifferencesDifferentiator.new UnivariateDifferentiableFunction() {...},0,4,,,0,9,,,0,5,
FiniteDifferencesDifferentiator.new UnivariateDifferentiableVectorFunction() {...},0,10,,,0,16,,,0,8,
DerivativeStructure,2,68,,,0,304,,,2,116,
FiniteDifferencesDifferentiator.new UnivariateDifferentiableMatrixFunction() {...},0,14,,,0,18,,,0,10,
FiniteDifferencesDifferentiator,0,14,,,0,42,,,0,15,
DSCompiler,2,294,,,2,570,,,2,195,
SparseGradient.new Field() {...},0,0,,,0,4,,,0,4,
DerivativeStructure.new Field() {...},0,0,,,0,4,,,0,4,
SparseGradient,6,106,,,4,247,,,6,125,
GradientFunction,0,4,,,0,14,,,0,4,
DerivativeStructure.DataTransferObject,0,0,,,0,6,,,0,2,
JacobianFunction,0,6,,,0,15,,,0,5,
SubLimitAngle,0,6,,,0,9,,,0,9,
S1Point,2,8,,,1,24,,,2,14,
LimitAngle,1,5,,,1,15,,,2,12,
Sphere1D.LazyHolder,0,0,,,0,1,,,0,1,
Sphere1D,0,0,,,0,4,,,0,4,
ArcsSet.InconsistentStateAt2PiWrapping,0,0,,,0,2,,,0,1,
ArcsSet.SubArcsIterator,2,24,,,1,38,,,2,16,
ArcsSet.Split,0,0,,,0,6,,,0,3,
ArcsSet,17,123,,,17,235,,,14,86,
Arc,0,16,,,1,23,,,1,14,
Sphere1D.NoSubSpaceException,0,0,,,0,2,,,0,1,
MultivariateOptimizer,0,6,,,0,15,,,0,8,
LineSearch.new UnivariateFunction() {...},0,2,,,0,6,,,0,3,
GoalType,0,0,,,0,3,,,0,1,
MultiStartMultivariateOptimizer.new Comparator() {...},5,3,,,2,7,,,4,2,
ObjectiveFunctionGradient,0,0,,,0,4,,,0,2,
MultivariateFunctionMappingAdapter,2,16,,,2,26,,,2,11,
LineSearch,0,0,,,0,14,,,0,2,
MultivariateFunctionPenaltyAdapter,3,17,,,3,26,,,3,9,
MultivariateFunctionMappingAdapter.LowerUpperBoundMapper,0,0,,,0,6,,,0,3,
MultivariateFunctionMappingAdapter.LowerBoundMapper,0,0,,,0,5,,,0,3,
MultivariateFunctionMappingAdapter.NoBoundsMapper,0,0,,,0,2,,,0,2,
GradientMultivariateOptimizer,1,3,,,0,10,,,1,5,
MultivariateFunctionMappingAdapter.UpperBoundMapper,0,0,,,0,5,,,0,3,
MultiStartMultivariateOptimizer,0,0,,,0,11,,,0,5,
LeastSquaresConverter,3,15,,,3,35,,,3,10,
ObjectiveFunction,0,0,,,0,4,,,0,2,
SubHyperplane.SplitSubHyperplane,0,0,,,0,6,,,0,3,
Side,0,0,,,0,5,,,0,1,
RegionFactory.IntersectionMerger,0,2,,,0,6,,,0,3,
BoundaryProjection,0,0,,,0,8,,,0,4,
BSPTree,11,78,,,16,193,,,11,62,
BoundarySizeVisitor,0,4,,,0,13,,,0,7,
AbstractRegion,17,113,,,7,163,,,19,79,
BoundaryProjector,4,26,,,0,51,,,4,20,
AbstractRegion.new Comparator() {...},0,4,,,0,4,,,0,4,
AbstractRegion.new BSPTreeVisitor() {...},1,3,,,0,7,,,1,5,
AbstractRegion.BoundaryBuilder,5,23,,,1,39,,,5,14,
RegionFactory.UnionMerger,0,2,,,0,6,,,0,3,
RegionFactory.XorMerger,0,2,,,0,6,,,0,3,
AbstractSubHyperplane,2,6,,,0,29,,,2,11,
RegionFactory,2,16,,,1,43,,,2,15,
BoundaryAttribute,0,0,,,0,6,,,0,3,
RegionFactory.DifferenceMerger,0,6,,,0,9,,,0,5,
Region.Location,0,0,,,0,4,,,0,1,
RegionFactory.NodesCleaner,0,0,,,0,5,,,0,4,
BSPTreeVisitor.Order,0,0,,,0,7,,,0,1,
AbstractRegion.Sides,0,0,,,0,10,,,0,5,
DummyStepHandler,0,0,,,4,0,,,4,0,
AbstractStepInterpolator,9,25,,,15,171,,,10,33,
StepNormalizer,1,33,,,5,59,,,3,23,
StepNormalizerBounds,0,0,,,0,11,,,0,4,
NordsieckStepInterpolator,11,27,,,7,80,,,12,17,
DummyStepHandler.LazyHolder,0,0,,,1,0,,,1,0,
StepNormalizerMode,0,0,,,0,3,,,0,1,
Line.LineTransform,1,1,,,1,31,,,1,4,
SubLine,0,34,,,2,59,,,1,26,
Line,3,13,,,23,67,,,8,34,
Vector2DFormat,1,3,,,5,18,,,3,8,
Euclidean2D.LazyHolder,0,0,,,0,1,,,0,1,
DiskGenerator,0,6,,,0,33,,,0,6,
Euclidean2D,0,0,,,0,4,,,0,4,
PolygonsSet.Edge,0,0,,,0,21,,,0,7,
PolygonsSet.SegmentsBuilder,2,10,,,0,25,,,2,10,
PolygonsSet.Vertex,0,6,,,0,24,,,0,11,
PolygonsSet,24,99,,,37,172,,,23,55,
PolygonsSet.ComparableSegment,7,1,,,7,8,,,6,3,
Vector2D,19,15,,,53,53,,,36,21,
Segment,2,2,,,3,16,,,2,5,
NestedLoops,28,0,,,62,0,,,20,0,
MultivariateSummaryStatistics,8,36,,,0,145,,,8,50,
AggregateSummaryStatistics.AggregatingSummaryStatistics,8,0,,,8,8,,,6,2,
SynchronizedDescriptiveStatistics,0,0,,,3,28,,,1,14,
DescriptiveStatistics,3,19,,,22,139,,,4,57,
AbstractStorelessUnivariateStatistic,2,16,,,1,24,,,2,14,
AbstractUnivariateStatistic,11,1,,,14,10,,,9,8,
SynchronizedSummaryStatistics,0,0,,,30,28,,,14,22,
SummaryStatistics,18,40,,,28,164,,,27,41,
AggregateSummaryStatistics,10,14,,,15,53,,,15,14,
StatisticalSummaryValues,5,11,,,0,45,,,5,14,
SynchronizedMultivariateSummaryStatistics,0,0,,,0,41,,,0,31,
