CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_covergae,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
Minus,0,0,0,100,1,3,4,0.75,1,3,4
Sin,0,0,0,100,0,4,4,1,0,4,4
Log10,0,0,0,100,2,2,4,0.5,2,2,4
Asin,0,0,0,100,2,2,4,0.5,2,2,4
Logistic.Parametric,0,6,6,1,2,25,27,0.925925926,1,6,7
Sqrt,0,0,0,100,1,3,4,0.75,1,3,4
Ulp,0,0,0,100,0,2,2,1,0,2,2
Tanh,0,0,0,100,2,2,4,0.5,2,2,4
Log1p,0,0,0,100,2,2,4,0.5,2,2,4
Subtract,0,0,0,100,2,0,2,0,2,0,2
Exp,0,0,0,100,2,2,4,0.5,2,2,4
Gaussian.Parametric,0,6,6,1,0,21,21,1,0,7,7
Cos,0,0,0,100,1,3,4,0.75,1,3,4
Log,0,0,0,100,1,3,4,0.75,1,3,4
Sinc,2,24,26,0.923076923,1,50,51,0.980392157,3,15,18
Sinh,0,0,0,100,2,2,4,0.5,2,2,4
Pow,0,0,0,100,0,2,2,1,0,2,2
Inverse,0,0,0,100,1,3,4,0.75,1,3,4
Cbrt,0,0,0,100,2,2,4,0.5,2,2,4
Percentile,8,60,68,0.882352941,16,111,127,0.874015748,10,41,51
Median,0,0,0,100,2,2,4,0.5,1,1,2
Min,0,12,12,1,3,29,32,0.90625,1,14,15
Max,0,12,12,1,3,29,32,0.90625,1,14,15
DfpField,8,38,46,0.826086957,12,155,167,0.928143713,19,44,63
Dfp,81,697,778,0.895886889,82,1016,1098,0.925318761,83,426,509
DfpDec,12,100,112,0.892857143,25,109,134,0.813432836,22,56,78
DfpField.RoundingMode,0,0,0,100,0,9,9,1,0,1,1
DfpMath,40,154,194,0.793814433,34,341,375,0.909333333,29,88,117
BracketingNthOrderBrentSolverDFP,7,59,66,0.893939394,13,116,129,0.899224806,9,36,45
LevenbergMarquardtOptimizer.InternalData,0,0,0,100,0,8,8,1,0,1,1
OptimumImpl,0,0,0,100,2,12,14,0.857142857,2,8,10
LeastSquaresAdapter,0,0,0,100,0,10,10,1,0,8,8
DenseWeightedEvaluation,0,0,0,100,0,7,7,1,0,4,4
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100,0,4,4,1,0,2,2
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100,0,10,10,1,0,2,2
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100,0,6,6,1,0,2,2
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100,0,10,10,1,0,2,2
LevenbergMarquardtOptimizer,17,185,202,0.915841584,17,361,378,0.955026455,21,98,119
LeastSquaresBuilder,0,0,0,100,0,20,20,1,0,13,13
GaussNewtonOptimizer,1,17,18,0.944444444,6,40,46,0.869565217,5,11,16
AbstractEvaluation,0,2,2,1,0,18,18,1,0,6,6
LeastSquaresFactory.LocalLeastSquaresProblem.UnweightedEvaluation,0,0,0,100,0,8,8,1,0,4,4
LeastSquaresFactory.new MultivariateJacobianFunction() {...},0,0,0,100,0,5,5,1,0,2,2
LeastSquaresFactory.new LeastSquaresAdapter() {...},0,0,0,100,3,0,3,0,2,0,2
LeastSquaresFactory.new ConvergenceChecker() {...},0,0,0,100,0,6,6,1,0,2,2
LeastSquaresFactory,0,4,4,1,4,15,19,0.789473684,3,8,11
LeastSquaresFactory.new LeastSquaresAdapter() {...},0,0,0,100,0,2,2,1,0,2,2
GaussNewtonOptimizer.Decomposition,0,0,0,100,0,5,5,1,0,1,1
LeastSquaresFactory.LocalLeastSquaresProblem,1,1,2,0.5,0,13,13,1,1,5,6
MultistepIntegrator.InitializationCompletedMarkerException,0,0,0,100,0,2,2,1,0,1,1
ExpandableStatefulODE.SecondaryComponent,0,0,0,100,0,7,7,1,0,1,1
ExpandableStatefulODE,4,14,18,0.777777778,7,58,65,0.892307692,6,20,26
JacobianMatrices,9,25,34,0.735294118,9,68,77,0.883116883,9,19,28
UnknownParameterException,0,0,0,100,4,0,4,0,2,0,2
MultistepIntegrator.NordsieckInitializer,2,8,10,0.8,6,36,42,0.857142857,2,6,8
AbstractIntegrator,2,60,62,0.967741935,4,135,139,0.971223022,4,51,55
JacobianMatrices.MismatchedEquations,0,0,0,100,2,0,2,0,1,0,1
ContinuousOutputModel,3,45,48,0.9375,2,109,111,0.981981982,4,31,35
FirstOrderConverter,0,0,0,100,0,14,14,1,0,3,3
ParameterConfiguration,0,0,0,100,0,8,8,1,0,4,4
AbstractParameterizable,2,6,8,0.75,7,11,18,0.611111111,4,5,9
ParameterizedWrapper,2,0,2,0,12,0,12,0,8,0,8
MultistepIntegrator,2,2,4,0.5,11,32,43,0.744186047,7,7,14
AbstractIntegrator.new Comparator() {...},0,0,0,100,0,2,2,1,0,2,2
JacobianMatrices.JacobiansSecondaryEquations,5,21,26,0.807692308,1,39,40,0.975,5,11,16
MultistepIntegrator.new FirstOrderDifferentialEquations() {...},0,0,0,100,4,0,4,0,3,0,3
JacobianMatrices.MainStateJacobianWrapper,1,5,6,0.833333333,1,18,19,0.947368421,1,6,7
EquationsMapper,2,2,4,0.5,2,12,14,0.857142857,2,5,7
ParameterJacobianWrapper,2,6,8,0.75,2,22,24,0.916666667,3,5,8
FastFourierTransformer.MultiDimensionalComplexMatrix,8,22,30,0.733333333,8,53,61,0.868852459,6,16,22
FastFourierTransformer,9,54,63,0.857142857,4,169,173,0.976878613,9,33,42
TransformUtils,4,10,14,0.714285714,7,24,31,0.774193548,4,9,13
FastCosineTransformer,0,14,14,1,0,44,44,1,0,11,11
DstNormalization,0,0,0,100,0,3,3,1,0,1,1
TransformType,0,0,0,100,0,3,3,1,0,1,1
DctNormalization,0,0,0,100,0,3,3,1,0,1,1
DftNormalization,0,0,0,100,0,3,3,1,0,1,1
FastHadamardTransformer,1,17,18,0.944444444,3,39,42,0.928571429,2,13,15
FastSineTransformer,0,14,14,1,0,40,40,1,0,11,11
UnivariatePeriodicInterpolator.new UnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2
