CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
FunctionUtils.new MultivariateDifferentiableVectorFunction() {...},3,13,16,0.81,3,26,29,90%,3,8,11
FunctionUtils.new DifferentiableMultivariateVectorFunction() {...},0,0,0,100.00,0,3,3,100%,0,3,3
FunctionUtils.new MultivariateFunction() {...},0,2,2,1.00,0,5,5,100%,0,3,3
FunctionUtils.new UnivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
FunctionUtils.new UnivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
FunctionUtils.new UnivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
FunctionUtils.18.new MultivariateMatrixFunction() {...},0,6,6,1.00,0,14,14,100%,0,5,5
FunctionUtils.16.new MultivariateFunction() {...},4,0,4,0.00,9,0,9,0%,4,0,4
FunctionUtils.16.new MultivariateVectorFunction() {...},0,4,4,1.00,0,13,13,100%,0,4,4
FunctionUtils.6.new UnivariateFunction() {...},2,0,2,0.00,5,0,5,0%,3,0,3
FunctionUtils.new DifferentiableUnivariateFunction() {...},2,0,2,0.00,6,0,6,0%,4,0,4
FunctionUtils.3.new UnivariateFunction() {...},2,0,2,0.00,7,0,7,0%,3,0,3
FunctionUtils.new UnivariateFunction() {...},0,2,2,1.00,0,5,5,100%,0,3,3
FunctionUtils.new UnivariateFunction() {...},0,2,2,1.00,0,5,5,100%,0,3,3
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,2,4,0.50,4,5,9,56%,2,3,5
FunctionUtils.new UnivariateFunction() {...},0,2,2,1.00,0,5,5,100%,0,3,3
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,2,4,0.50,4,5,9,56%,2,3,5
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,2,4,0.50,4,5,9,56%,2,3,5
FunctionUtils.new DifferentiableUnivariateFunction() {...},2,0,2,0.00,6,0,6,0%,4,0,4
FunctionUtils.new DifferentiableUnivariateFunction() {...},2,0,2,0.00,6,0,6,0%,4,0,4
FunctionUtils.9.new UnivariateFunction() {...},6,0,6,0.00,9,0,9,0%,5,0,5
FunctionUtils,0,6,6,1.00,3,27,30,90%,3,21,24
FunctionUtils.14.new UnivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
FiniteDifferencesDifferentiator.new UnivariateDifferentiableFunction() {...},0,4,4,1.00,0,9,9,100%,0,5,5
FiniteDifferencesDifferentiator.new UnivariateDifferentiableVectorFunction() {...},0,10,10,1.00,0,16,16,100%,0,8,8
DerivativeStructure,2,68,70,0.97,0,304,304,100%,2,116,118
